zipcode,count,city,county
98103,602,Seattle,King County
98038,589,Maple Valley,King County
98115,583,Seattle,King County
98052,574,Redmond,King County
98117,553,Seattle,King County
98042,547,Covington,King County
98034,545,Kirkland,King County
98118,507,Seattle,King County
98023,499,Federal Way,King County
98006,498,Bellevue,King County
98133,493,Seattle,King County
98059,468,Renton,King County
98058,455,King County,Washington
98155,446,Shoreline,King County
98074,441,Sammamish,King County
98033,432,Kirkland,King County
98027,412,King County,Washington
98125,409,Seattle,King County
98056,406,Renton,King County
98053,403,King County,Washington
98001,361,Auburn,King County
98075,359,Sammamish,King County
98126,354,Seattle,King County
98092,351,King County,Washington
98144,343,Seattle,King County
98106,335,Seattle,King County
98116,330,Seattle,King County
98029,321,Issaquah,King County
98199,317,Seattle,King County
98004,317,Bellevue,King County
98065,308,Snoqualmie,King County
98122,290,Seattle,King County
98146,288,Burien,King County
98008,283,Bellevue,King County
98028,283,Kenmore,King County
98040,282,Mercer Island,King County
98198,280,Des Moines,King County
98003,280,Federal Way,King County
98072,273,King County,Washington
98031,273,Kent,King County
98112,269,Seattle,King County
98168,269,Burien,King County
98055,268,Renton,King County
98107,266,Seattle,King County
98136,263,Seattle,King County
98178,262,King County,Washington
98030,256,Kent,King County
98177,255,Seattle,King County
98166,254,Burien,King County
98022,233,Enumclaw,King County
98105,229,Seattle,King County
98045,220,Tanner,King County
98002,199,Auburn,King County
98077,198,King County,Washington
98011,195,Bothell,King County
98019,190,King County,Washington
98108,186,Seattle,King County
98119,184,Seattle,King County
98005,168,Bellevue,King County
98007,141,Bellevue,King County
98188,136,SeaTac,King County
98032,125,Kent,King County
98014,124,King County,Washington
98070,117,King County,Washington
98109,109,Seattle,King County
98102,104,Seattle,King County
98010,100,Black Diamond,King County
98024,80,Fall City,King County
98148,57,Burien,King County
98039,50,Medina,King County
